Variable	Coefficient
Age	0.0462766066357795
DNAmB2M	0.158680629768235
DNAmCystatinC	0.0816833695690836
DNAmGDF15	0.0468584114974572
DNAmPACKYRS	0.175067264146839
DNAmPAI1	0.00787727707944148
DNAmTIMP1	0.39611578025112
EpiScore_NEP	0.279885742796008
EpiScore_SKR3	0.675309254770045
EpiScore_SMPD1	0.176766116574639
EpiScore_CCL11	0.311864481279154
EpiScore_CXCL10	0.115814975894544
EpiScore_CXCL9	0.077954008213579
EpiScore_FGF.21	0.00657452735846051
EpiScore_HGF	0.0571699574073547
EpiScore_2705-5	0.191065423352407
EpiScore_2948-58	-0.11610415748635
EpiScore_3038-9	2.28363619420746e-05
EpiScore_3041-55	-0.442024518605284
EpiScore_3044-3	0.134871794086836
EpiScore_3079-62	0.318288569347129
EpiScore_3175-51	-0.0377240332475354
EpiScore_3235-50	-0.325525406740448
EpiScore_3316-58	0.105387233560035
EpiScore_3805-16	-0.223543628311033
EpiScore_4337-49	0.35521790064934
EpiScore_4568-17	-0.164683061844858
EpiScore_4763-31	0.580621953433008
EpiScore_4831-4	-0.120058707415685
EpiScore_4920-10	0.622176245322961
EpiScore_4930-21	0.126739504907825
EpiScore_5028-59	0.126121308791485
EpiScore_5107-7	-0.136179751052693
EpiScore_5124-69	0.0769951449492842
EpiScore_5358-3	-0.0302364184301348
