EpiScore_CRTAM	EpiScore_EZR	EpiScore_FcRL2	EpiScore_G.CSF	EpiScore_GDF.8	EpiScore_GZMA	EpiScore_N.CDase	EpiScore_NEP	EpiScore_NMNAT1	EpiScore_NTRK3	EpiScore_SIGLEC1	EpiScore_SKR3	EpiScore_SMPD1	EpiScore_CCL11	EpiScore_CD6	EpiScore_CXCL10	EpiScore_CXCL11	EpiScore_CXCL9	EpiScore_EN.RAGE	EpiScore_FGF.21	EpiScore_HGF	EpiScore_MMP.1	EpiScore_OSM	EpiScore_TGF.alpha	EpiScore_VEGFA	EpiScore_2516-57	EpiScore_2579-17	EpiScore_2580-83	EpiScore_2658-27	EpiScore_2665-26	EpiScore_2687-2	EpiScore_2705-5	EpiScore_2771-35	EpiScore_2780-35	EpiScore_2816-50	EpiScore_2826-53	EpiScore_2851-63	EpiScore_2948-58	EpiScore_2950-57	EpiScore_2966-65	EpiScore_2967-8	EpiScore_2982-82	EpiScore_3029-52	EpiScore_3035-80	EpiScore_3038-9	EpiScore_3041-55	EpiScore_3044-3	EpiScore_3046-31	EpiScore_3060-43	EpiScore_3079-62	EpiScore_3152-57	EpiScore_3169-70	EpiScore_3175-51	EpiScore_3184-25	EpiScore_3195-50	EpiScore_3216-2	EpiScore_3235-50	EpiScore_3291-30	EpiScore_3292-75	EpiScore_3293-2	EpiScore_3298-52	EpiScore_3311-27	EpiScore_3316-58	EpiScore_3324-51	EpiScore_3339-33	EpiScore_3343-1	EpiScore_3348-49	EpiScore_3403-1	EpiScore_3440-7	EpiScore_3448-13	EpiScore_3470-1	EpiScore_3473-78	EpiScore_3485-28	EpiScore_3505-6	EpiScore_3508-78	EpiScore_3519-3	EpiScore_3554-24	EpiScore_3600-2	EpiScore_3617-80	EpiScore_3805-16	EpiScore_4141-79	EpiScore_4148-49	EpiScore_4153-11	EpiScore_4160-49	EpiScore_4337-49	EpiScore_4407-10	EpiScore_4435-66	EpiScore_4481-34	EpiScore_4496-60	EpiScore_4498-62	EpiScore_4500-50	EpiScore_4568-17	EpiScore_4763-31	EpiScore_4831-4	EpiScore_4920-10	EpiScore_4924-32	EpiScore_4929-55	EpiScore_4930-21	EpiScore_4990-87	EpiScore_5000-52	EpiScore_5028-59	EpiScore_5029-3	EpiScore_5034-79	EpiScore_5107-7	EpiScore_5124-69	EpiScore_5339-49	EpiScore_5358-3	EpiScore_5363-51	EpiScore_5491-12
9007217127_R04C01	0.209458867160925	-0.0331601141093052	-0.119813444549573	0.0449772441121251	0.111439274975088	-0.0132802508597579	0.0525392293562281	0.404877801673061	-0.138486050573402	0.0893010620288764	0.0620817969145676	0.0445064509748944	-0.0574387562356327	-0.0113083898340736	0.0322511016548425	0.137383082894324	0.349818981780889	0.000623242058385181	-0.0369815342547711	-0.0062407582735114	-0.0436523167041396	-0.0199438735584096	-0.226038412489799	-0.0691288652690185	-0.176558116451952	0.144347642899372	0.114101379199543	-0.157756482779999	-0.119832852934974	-0.00157104083009226	-0.0756452502560387	-0.0869358751521768	-0.156650470875074	-0.00692425897362669	0.0151852519732831	0.0180315465002676	0.361182064110394	-0.0260064781783787	0.0333367073294048	-0.18800221795882	0.129466551268071	-0.0057188613831756	0.174965472608737	-0.0813568109202495	0.0514808829728864	0.0442007530622702	0.0307955991284794	-0.12556893221322	0.129441493759724	-0.0806495686209416	-0.08966605802383	0.0511887219213082	0.0261666482325067	-0.0797536363659049	0.0628809800163578	-0.00905673572235449	-0.0801264345393774	0.185329479315407	-0.0787325879976372	0.0327706146424676	-0.0486785266061094	0.139581224788739	0.00378650126008465	-0.081497278003077	-0.15019191589295	0.0134084570807215	-0.0625785193956839	0.206561826760432	0.0782865258053079	-0.0257283894835313	0.227658203655333	-0.154070167938264	-0.0548101340946998	-0.234314216149782	-0.0348494937264676	0.123717155989726	-0.234353704789666	-0.153131678169795	0.16305167173031	-0.00809481678094583	-0.297140269654847	0.231761714145914	0.188580064682063	-0.00690909500343543	0.0648913139714736	-0.202889699030475	0.375870007238589	-0.316175276918105	0.00367069363749606	-0.0105846100748593	-0.169937470118432	-0.145175427771059	0.0223407319139875	-0.0757375215580114	0.0113186907091178	-0.199299545156429	-0.140138178721113	0.297467154751743	-0.179735820188737	-0.0856053536642965	0.216080311983505	0.0202872432128175	0.0959485815527987	-0.0819796174863804	0.00439353392294421	0.0603663775839272	-0.204128047251935	-0.0461821307209294	0.228581707170815
9007225050_R02C01	0.0935099483704423	0.085370129289364	-0.00155528387920849	-0.210617117788054	0.169314201524052	0.252727343857239	0.356711315698722	0.177424139228226	-0.088151961398524	0.00668990671568365	-0.10334770355958	0.0969413416366588	-0.0448469193895827	0.0459363401273378	0.250996058281641	-0.00505231098420614	0.167865843404208	-0.0368025665178034	-0.185797431871195	0.00861981642969829	-0.0106266996604391	-0.134167059585354	-0.201807326680282	-0.366384535769212	-0.0417284017618554	-0.203430138426245	-0.401961792662814	-0.156651429356938	0.0797816688265561	-0.0788085864814027	0.279836659328293	0.0958556785120416	0.270016853349793	-0.0829367153696974	-0.00774098750644585	0.0140932784271113	-0.0754648018366461	0.0197755081523639	-0.0763186450016717	-0.291017254848747	0.0084673350574774	-0.0592023397145803	0.168442618456196	-0.0519550153713267	-0.052967892869983	0.0846531656095994	-0.105020757755893	-0.170555862601173	-0.186377931091642	-0.0972713407810167	-0.298548816255076	0.0381805967839249	0.123481270235947	0.0134012700599686	0.361762432605269	-0.0908641342838462	-0.0711272544374443	0.292728094252456	-0.0949246226265227	-0.0630804879345186	0.174789805720432	-0.225630443121188	0.0784854780048997	0.160446620673517	-0.0510556274728884	-0.268118973080714	-0.143308848944665	-0.251327227002338	0.175787697341254	0.0195185648887675	-0.140052733503397	-0.253990620269525	-0.317787497493718	0.201612197820503	-0.0274698356876436	0.279209505162946	0.032499191436623	-0.0174876734848861	0.238752291522071	-0.130247139144892	-0.335175180985041	-0.0512812654717273	-0.214742925006276	-0.00185231609653613	-0.346048160970106	0.321262981961834	-0.543862835454572	0.0539154390426809	-0.353417243043473	0.174778458331146	-0.149932283825915	0.216146579095229	0.155323208271916	0.00954233695214583	0.017332855670046	-0.303135224014385	0.0915266152043645	-0.23494700271468	0.217446585998553	-0.0951002554374176	-0.119128940109742	-0.0661675366474683	-0.0746255392442217	0.074116300279093	0.117073130095332	-0.241761934564199	0.253235490854238	0.00673549028727489	0.192567194311583
9007217127_R04C02	0.200026958422101	0.207163743465404	0.0170180807197854	-1.42928811567181	0.665125070547133	0.0235763132424002	0.171547472840461	0.717983771805916	0.059985028168552	0.0571554437711778	0.207739114045941	0.279831926173839	-0.263755510957978	0.383266510678172	0.358222334395363	0.661312071605973	0.365702941400833	-0.118354840062495	0.0321306591369995	0.309723872332968	0.325286754971223	-0.0523560497728631	0.144272169493783	0.142125238489431	0.365499034302888	0.4329353748765	-0.411221469656306	0.180054771835606	-0.240428096699956	-0.202898719310969	0.0704331791595973	0.0440048290337544	-0.224801144309379	0.0131034963456002	-0.00115242409704281	-0.0428519462328055	0.92363149073922	-0.0529984016129487	0.258717635337101	-0.194852470133349	0.404224060179092	0.231929591422491	0.103221351459772	-0.0158507962649475	0.168543083936665	0.3052456408713	0.970012968473679	0.181063265203051	-0.0281714267854336	0.331000651734693	0.299580177431549	0.0984043701361428	-0.351757331079963	-0.184963586466257	0.0920949999550258	-0.0486745142017636	0.095522998755507	0.628039994264033	0.148854575247161	-0.143240119061092	-0.0294985640677573	0.476092866839516	0.0519360910112328	0.286536746012328	0.477722180501372	0.132282035264695	-0.634535955180296	-0.483797748098823	0.075851715701124	-0.000971883238853191	-0.0388742090653829	-0.215254440556437	0.806115782454729	-0.139642899268607	0.154655145608253	-0.165022494418782	0.326071316265101	0.684546884756757	0.232199805772083	0.0581716741329558	0.113795330275158	-0.620745307486408	0.0969365735990418	0.0200923323120915	0.19288709748972	-1.45731279631948	0.673676900892789	0.094051963217176	1.14488776367638	0.0365443371408453	-0.174929992418933	0.220270798411584	0.126770164657489	-0.758185356098158	0.140620599972662	0.433554943022426	-0.304656696620084	0.662600777366026	0.00449682117016943	0.474223136892988	0.951526942234121	0.153423616691842	-0.119710721138584	0.094755927746936	0.335951431544455	0.155404324117801	0.584826764922725	0.53012394443762	0.546906110829521
9422493094_R06C01	-0.346940019795466	-0.00624505130049364	-0.180971483768979	-0.250478693474283	0.0712432956477253	-0.183197617491163	0.479353935914679	-0.335684211491988	-0.0391014573626189	0.0990345054341265	0.0468540600506714	0.312137365508356	-0.0608478177228786	0.176797926010003	-0.111292883646343	0.0715141472122975	-0.211892337231656	-0.068914152229975	-0.0575092840467639	-0.304465332681522	0.253406283358954	0.000479636190245234	-0.010668830966239	0.262176241894493	0.0568916501504818	-0.0472129108304681	0.287924770079984	0.00815419450266755	-0.218839714908988	-0.395467961919363	-0.159688481854552	0.204258633181354	-0.341731584501253	-0.129988409202416	-0.00774098750644585	-0.20714776283061	0.0318061823873543	-0.0986343204376532	0.149818519853367	0.0391236049763188	-0.0549606530918552	0.426170685229285	-0.202135027958489	-0.0325650764933165	0.00727541549137583	-7.09684097257141e-05	-0.00533848868371972	-0.031123240401007	-0.308396730590345	0.439641972726266	0.243047595151769	0.0481552936063152	0.0672783704998501	0.0433442507753964	-0.400441896032064	0.129548749010054	-0.00534289652462661	0.184313625813666	0.191596922725085	-0.186360423786059	-0.0763857217093661	0.0975701890652502	-0.109557925863253	-0.329620630919084	0.273132153357484	0.522926747072368	0.198402794261741	0.303265320910993	-0.416944787594651	0.0866686837939717	0.117631023146447	-0.0734310150750231	0.302069121989433	0.0215100100512313	0.130688217578867	0.655495074549052	-0.103844831422792	0.167657088197906	-0.374150326124882	-0.129023873585405	0.723994349185259	-0.226166502808507	0.132351884327105	-0.000441377520942672	0.0882313088122081	0.717451637321912	-0.420557546007588	0.0312673504397193	0.567007179994463	0.00633107147060371	0.195954357743815	-0.423616992504217	0.00893089029982228	-0.0703051154344963	0.0142850069330666	0.70859342132072	-0.33555468298322	0.255423802471401	0.413174862996555	0.0173022217689251	0.00126504935780284	-0.114658560463528	-0.101798571534633	0.0105774577626246	0.0400810083913796	0.186945043207095	-0.25968190743653	-0.0174626500591755	0.0525757609885054
8963311074_R06C01	-0.0465115233078799	0.0395003013840229	0.00938217138161893	-0.1081179197167	0.0512174074639946	-0.00716486528088219	-0.417503936894923	-0.077008786336275	-0.0164222002677644	0.204986901983218	0.0267087508347221	-0.196338967087075	0.0589579062197952	-0.0597989998145335	0.19823325722542	0.0960283602324499	-0.0273176595661701	-0.0416165813796063	-0.0425725265168064	-0.0780752597854018	-0.0827848185087603	-0.127763210903064	-0.0518645992914369	-0.129445082290607	-0.0225628766310663	-0.211218092973954	-0.212455465507862	-0.0671910259671463	0.168941444717321	0.205899482331442	0.127232731512087	-0.0768622061441871	0.0526352199272796	0.0391831566667058	-0.00774098750644585	-0.0705319154685516	0.098813969391408	0.0904280566561489	-0.144342882254371	-0.374377770660497	-0.0220356708139471	-0.434747387825884	0.151475559172176	0.0578384082757425	-0.0175757254572183	0.0822503575570766	0.0279927035713937	-0.124103330365266	0.0791549759944069	-0.147254649054358	-0.134034837868782	0.0223907751647084	0.0624801813715752	0.0945687599315168	-0.0608343867500308	-0.27713968398033	0.160238477712643	0.0769800876096293	-0.157725518566865	-0.0184077740392841	0.13906675377407	-0.312398909105529	-0.0130978160341903	0.0474923318946457	-0.200159175801274	-0.493268292511887	0.00416013243459356	0.0425375285058236	-0.0341802215666273	-0.00896618963474482	-0.205998567925025	-0.149742236120953	-0.191106468637691	0.342272123696228	-0.0621248275657764	-0.401549702598886	0.288251734180299	-0.0568828065957484	0.104822765297518	-0.0903053574299831	-0.305037915541897	-0.337441585300948	0.00508414795117113	0.00636257315671386	-0.142012072890429	0.666308365438038	0.178850124616621	-0.0207018038036764	-0.326924424285592	0.0935057527002892	-0.390321663268036	0.124761659503673	0.0276614284611821	0.246936892979168	-0.0232477494685632	-0.229226983132506	0.0708329403145348	-0.268606577837188	0.0776276828287047	-0.0367051601744275	-0.278294303933611	-0.0345940382233626	-0.175765377541921	0.267762039251996	0.0298294928185589	-0.190547240472396	0.239773544913166	0.793918322692514	0.209459814525536
9007225005_R02C02	-0.0696337765504587	-0.0139991214953075	-0.100577176537185	0.0541898190028847	0.11299292612741	-0.0763771964299011	0.00637510458371876	-0.0334407657452685	0.023779257422084	-0.282649623412022	-0.00973032181346998	0.254766367170933	-0.19525448402213	0.100097803569323	-0.130611739251294	0.0612585963840715	0.0744398615494483	0.0217945481449671	0.184635471898835	0.0776744291864939	0.176414430297498	0.0993403343960651	0.133469864961789	0.204783243350476	0.0774567661738574	-0.138219601314579	0.416216198445044	0.0278480326251102	-0.17042500881756	-0.195930364596576	-0.0662973206660006	-0.0939831911204198	0.0573246743239157	0.0425259186626046	-0.00774098750644585	0.000551142927067649	0.0513042747854721	0.00214810024810524	-0.0249255747971004	-0.327621215975193	-0.0437366655239306	0.0575676378473098	0.143601209664719	0.187323371529202	0.103644894161009	-0.0405203871485008	0.270759879876163	-0.135672968329044	0.0442128929768353	-0.156126748746373	0.0320317863230512	-0.170911609959399	0.0427449818275853	0.052094575702283	0.193695793927802	0.328745637049404	-0.0114363993287625	-0.347140474812637	-0.107777688102771	0.0112615612410168	-0.0570903093788958	-0.00593718365922183	0.0153467202184113	-0.0713784786952473	0.132133607566512	-0.654529510612696	-0.0325883386545132	-0.0509152230952955	-0.0845385548812981	0.271820998664571	-0.091579863692415	-0.214816222471307	-0.087761207174688	0.0845610374513968	0.220143446175577	0.167394361408513	0.32606146663266	-0.0790845369615814	0.101236659610186	-0.0964126645528084	-0.370693092174333	-0.0315992508356135	-0.0148542153735944	0.00628558974875761	0.0866480940403972	-0.224209872288098	-0.760066434295624	0.0769934532471703	-0.176828256697624	-0.0177159549171712	-0.460854418936568	-0.243373204923588	-0.069786781852696	-0.201750859707814	-0.00164606097738012	0.271670540518745	0.132394799738063	-0.125442089506008	-0.141945108103344	0.0160224320888555	0.160815062879515	-0.22425069111539	0.071260739975879	-0.069271123618677	0.227498095116823	0.0372892280126194	0.0695081580076943	-0.104963735397958	0.141810758804698
9007225050_R01C01	0.00112658234360349	-0.0778485207115617	0.00855238064928094	-0.295773555693535	0.0146977920366821	-0.0820277985890758	0.0111177612943149	-0.208268012796073	-0.115016059563813	0.0984737798465134	0.0195368326241592	-0.0769792744873222	-0.0725069953170109	0.0168349067975371	0.129329564260053	-0.144789704319133	0.117055599250831	0.000171520504154602	0.201338276858737	0.0600269737877848	0.0809243597507313	0.0378773281033704	0.171333444994246	0.0878868365607757	0.213780277320088	-0.0830566143781872	0.0713594800391189	0.017573146942896	0.0808018029751885	0.00821162450855038	-0.0169678107416513	-0.150068244588093	0.337981891252019	0.107620389478739	-0.00774098750644585	-0.108780118400836	0.0932238596984284	-0.186835661271355	-0.0802868938028507	-0.273912445466079	-0.0230883729700846	-0.190108171518724	0.24202034715161	0.039882972786262	-0.144845854190061	-0.0251242068325413	-0.0982035963925228	-0.0779779013069698	0.102876366848252	0.0317266205169401	-0.200791656402214	0.0227179201282864	0.105425918300859	-0.00232368103166902	0.0113242746053222	0.0276169424824936	0.0602929881866319	0.307372634915002	-0.135997530307755	-0.00517013660991424	0.0572687421451838	-0.124418952295957	0.0772324951513784	0.0739164907308948	-0.16036521961458	-0.702296414398665	-0.103785668088507	0.225333442463463	-0.0764040109110323	-0.147850359039262	-0.105071555251415	-0.147116230573553	-0.169083413001448	0.13388836489032	0.0701089828543614	-0.0871708077767356	0.388913981447666	-0.00733427448711794	0.0618979823137541	-0.126703023454351	-0.432104793069247	-0.117075005507298	-0.0635850283219796	0.00660868905432485	-0.222739811139508	-1.20997895478249	0.697774874797697	-0.00562930005456235	-0.0308127473804861	-0.150785551503295	-0.31035295675116	-0.0920619455728883	-0.0597899325406657	0.153435388079936	0.00920912982865718	0.134060679179744	0.205623306927673	-0.192580637718888	-0.106040026601714	-0.11192529157234	-0.201382533770577	-0.0600321805751339	-0.0380527645776197	0.0640715539721027	0.074402359856851	-0.030757787410681	0.326424799283991	-0.0345783211934436	-0.000195287139775187
9007225005_R03C02	-0.361590111076696	0.0606782059592704	0.0405464069497003	-0.181880112579082	0.0934371004205716	-0.131041839673975	-0.151645109144544	-0.241891802323716	0.045046682136208	-0.0665850593691023	-0.0308835748900138	0.109916978697522	-0.11269665570942	-0.127687557037626	-0.0738514995172079	0.183607331535771	0.0128735004987774	-0.0196401169658783	-0.162598263380409	-0.121839438492809	-0.129323361830981	-0.118384248270477	-0.182294138143609	-0.224300143887194	-0.0843010781665619	-0.129238975704649	-0.113587989776339	-0.0274944429241575	0.0859686394170038	0.0715528916727053	-0.0154536744101569	-0.100495986239061	0.608171071745909	-0.0122930141237574	-0.00774098750644585	0.132644877738208	-0.328243623787678	-0.211857751495267	-0.0522959910953516	-0.135167962249208	-0.0753076434676501	-0.0537281463188903	0.11004318849044	0.22683057568301	-0.0460075559989535	0.0344571250914967	-0.21511683321351	-0.0780342243944554	0.0878345315614801	-0.0691449558069093	-0.287324652311296	-0.0255366456779359	-0.0332333001678891	-0.142234635553076	0.000897772690682051	-0.0144793915506147	0.266412804387888	0.0442693327235787	-0.122704585316387	-0.117866749285522	0.163322123995315	-0.129125000732542	0.079267846125163	-0.116805021516104	-0.22459993795618	-0.963923858436467	-0.150053991605155	0.269987599077027	-0.267361612168569	0.120632605510759	-0.3709175743473	0.246654524816863	-0.164807346993058	0.255092740332848	0.00676988199439976	-0.146391326484064	0.531673462344174	-0.00487319188695607	0.00693851342900684	0.0232101990479702	-0.304628774054648	0.589498327058055	0.147361426768087	0.0163139908739333	-0.419340011560065	-0.410809294471221	0.0667984812312839	0.0349648733061564	-0.541354760051825	0.40572907497613	-0.183270673426457	0.404579811304323	-0.17464576222841	0.195686930188295	0.0254503617384401	-0.281606841778896	0.596602918691398	-0.397908178927137	-0.320072380477142	-0.174082882300753	-0.221736040748347	-0.0248103977468756	-0.121164686954583	0.138112806763639	-0.00378721438941132	-0.115511364534883	0.210609804410252	0.19441408725914	0.00938230371339376
9007225050_R03C01	-0.118973270297472	-0.148492305614137	-0.146834568943891	0.203516115988825	-0.0164078697830094	-0.155473256492901	-0.106010329497732	-0.246336602431835	-0.113110139076368	0.23482824413379	-0.0801296605690213	0.095049618924801	-0.214119586115736	-0.129647564333267	-0.240996023050553	-0.10281646521542	-0.108266355666641	-0.0116431558897001	0.0288598700841282	-0.227417858665732	0.0629802063713951	0.125020944620325	0.164748078374415	0.0597504655128986	0.14941013962524	0.00200025792200473	0.087109746757005	0.111838997235655	-0.0449533711134252	0.0584375800107484	-0.0553771334591967	-0.0849294934834165	-0.039966792397801	0.0427034060294625	-0.00774098750644585	-0.157259744357427	0.189162275753173	-0.191916630393175	-0.0504658219800523	0.0211122477297672	-0.0621606482750755	-0.127939698286548	0.0186505274450536	-0.156691751600047	-0.15903402225086	-0.114221980968696	-0.0622881925043264	-0.0191770121696528	0.0648857584544028	0.0103898677496646	-0.155607228119571	-0.000213490643054056	0.00984379426417708	0.173284269716863	-0.172428467232453	-0.270649463355589	-0.0317571479861681	-0.0608018516111984	-0.190315507483784	-0.0860827814044835	0.110682616484279	-0.218208794436273	-0.0874803604029705	-0.0926037578041347	-0.156366026369214	0.228939799062507	0.0918100533763354	-0.0195561205687381	-0.27253097238295	-0.136449656834913	0.177407281997711	-0.255473907743752	-0.360484460783971	-0.255710631268766	-0.0714253897068938	-0.0583942156739303	-0.30744160616122	-0.155078567020844	0.0559268498677761	-0.16926728826346	-0.275251621100204	-0.108994062981325	0.0835443379163405	-0.0100137729816176	0.016986601504719	-0.00390342000256573	-0.80474338119152	-0.308703020741106	-0.170176478230025	0.0402619242347224	0.0879143114278733	-0.312656562176414	-0.0415390686902629	-0.0552014801039423	0.00895947568754826	0.0600236945915091	-0.191270875327909	0.199687287145233	-0.460168757039015	-0.125834156626749	-0.224838192773525	-0.106891418268945	-0.059612908859581	-0.0672179303562716	-0.0276301350181779	0.232584190393112	-0.00439882860368219	-0.0333654764482237	-0.0475304599865174
9007225005_R03C01	-0.215585311141565	-0.0487569693511357	-0.138941409674553	-0.223732828290682	0.0174639680328258	-0.192354896227113	0.120906848797261	-0.00758557797735429	-0.0152817997345512	-0.128370416923264	0.0557729101391242	0.185494384046845	0.171603067345305	0.107990225329749	-0.0992779182865499	-0.278665296713032	0.0100208860376282	-0.00733872507001342	0.212424790972555	0.0242128100645663	0.101699235115057	0.174999741626893	0.109231908459056	0.259360736407586	0.25572134751536	0.0518755116189148	0.366791751324186	0.056293188356442	-0.593112487986428	-0.028993607974119	-0.340233846836764	-0.136723675067644	-0.00330037339665622	0.0801456100917478	-0.00774098750644585	-0.0542610540932456	0.173786003014631	-0.108451065079976	0.0481748714097159	0.456218921092447	0.102196857726674	-0.1000040831161	-0.294252900881509	-0.134395527214697	0.055268969619863	-0.06476637690027	0.0560450416798972	0.0115077640053431	0.302110768182026	0.159107581497267	0.124758023739884	-0.110477755170618	0.0164268854862177	0.0139393669287508	-0.163956604549713	0.306230278516803	-0.339353194588539	-0.103301638646084	0.163283304047862	-0.0341911522284726	-0.0526656969853731	0.235907081045798	0.0432479546982783	-0.39577958196156	-0.0842125165919986	0.0579757490155155	-0.0837689560600838	0.0444569099016131	-0.239590761776143	-0.0256610938337701	0.328007270265757	0.091701239553602	0.425602348532064	-0.18202569843786	0.00735989146679903	0.273894064912402	-0.0856850541719139	0.379858287439705	0.0293772952937941	0.239471535369182	0.0650232461618613	-0.0374416021078175	0.179055795834383	-0.0107887283248289	0.2091887907654	0.731170823037873	0.0625270260537572	-0.0281460080374281	0.427047862639022	-0.00401495179410975	0.578701335341459	-0.616846296173868	-0.0365593009058734	0.0862214620374426	-0.010697547953431	0.250193464826152	-0.150390305024881	0.313098162421002	-0.280682229365775	-0.173854078656121	0.160186042820652	-0.223003628225795	0.0688185416071736	-0.0656623540571256	-0.175382746084075	0.172871004000628	0.246499393247587	-0.420932591180103	0.0366844685502555
