CpG_Site	Coefficient	Mean_Beta_Value
cg19623054	0.512754095897794	0.7469205895354264
cg08493959	-0.114415933260801	0.5623131540831129
cg16750801	-0.108455978139747	0.1601680539582471
cg11026555	-0.857942434874212	0.0569165977804599
cg01610165	1.13723550137313	0.1363982374500792
cg21863110	0.395141937148355	0.4739984797126618
cg02741882	0.238208449590359	0.1759413418188405
cg02773945	-2.19188229601058	0.0840646810983716
cg06340161	0.574977534428814	0.768336962377275
cg24258699	-0.0369291191142884	0.2490762044914371
cg12920180	0.201720522485818	0.0785714097903494
cg16969368	1.1843508984543	0.2151387563721797
cg04503319	-1.43138616655849	0.6311414099424804
cg13378934	1.15566668067793	0.1415503375693185
cg26917540	-0.591620761347008	0.1352260160872319
cg22866825	-0.473821456105187	0.1695012569279959
cg05142617	-1.01514007230811	0.2745746233628505
cg07357157	-0.251506648362082	0.8557443678068481
cg22900415	0.342472700356376	0.1227655180993798
cg15855170	-0.344448891530228	0.2169773744035912
cg17939040	0.986839483428353	0.8172756396016889
cg19381766	-0.11240624020884	0.3761197545692747
cg19757176	0.10993609698361	0.389194591530857
cg23851167	0.874490623672145	0.6264004555861232
cg00931644	0.426426455051525	0.716467245367954
cg23520688	3.54929643760787	0.889525115846257
cg17485681	0.0030632091815415	0.5796329800792631
cg20164887	0.0478494478183015	0.2427896294982871
cg13697378	0.308577542747596	0.5990623396191448
cg07806886	2.22960514111787	0.1366807542935789
cg25090514	2.83157396459786	0.0764054606628903
cg02928699	0.830824900129416	0.1955135214475825
cg09432590	1.57851351436844	0.0874978430459254
cg10003262	0.22513469614267	0.4249148976908041
cg09105193	0.0219294680670012	0.1213918819981118
cg08915171	0.789189546619558	0.8627425559000023
cg05516505	-0.109474184136547	0.2857029161972586
cg20742389	-0.616351668668207	0.0945410697453683
cg01176433	-0.187380362066937	0.4257108935784788
cg22856324	0.234137808951876	0.1451135141739792
cg09756089	0.576375408573368	0.168726065365059
cg16751357	-0.550244371730473	0.3288575685115771
cg11606444	-0.0404185971565081	0.6502983330694244
cg12173150	-0.461435098519249	0.3060979774643355
cg26161329	2.87901674566948	0.1986128106545156
cg06010459	0.0197217675610117	0.4340361768097723
cg08121652	0.135960622838642	0.6711058967275789
cg13610659	0.31685968069648	0.6603815442550516
cg10906284	0.296883329067123	0.1982360488765635
cg00298324	0.0048262990528133	0.3204196442808275
cg03590328	-0.507157477977144	0.6139542699644174
cg23973429	0.948773968045147	0.1827584565037971
